epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14763.1,1.27632,1.28995,1.32123,0.81555,0.88105,0.90196,0.57376,1.25941,1.52149,1.29777,0.000660045,0.000660045,0.000660045
43,15053,1.27568,1.27735,1.3235,0.82613,0.8676,0.90785,0.56723,1.3324,1.5764,1.34952,0.000649046,0.000649046,0.000649046
44,15392.6,1.28466,1.18705,1.31055,0.81677,0.85836,0.9242,0.61798,1.22833,1.46053,1.3086,0.000638047,0.000638047,0.000638047
45,15758.8,1.21933,1.14744,1.2514,0.84386,0.84274,0.92145,0.59909,1.25955,1.47426,1.33942,0.000627048,0.000627048,0.000627048
46,16121.9,1.24947,1.18745,1.26817,0.84374,0.85736,0.9012,0.56077,1.32207,1.52306,1.34567,0.000616049,0.000616049,0.000616049
47,16510.3,1.26439,1.22072,1.32798,0.81998,0.85905,0.88375,0.53562,1.28842,1.46838,1.32423,0.000605051,0.000605051,0.000605051
48,16881.9,1.22345,1.17276,1.2634,0.81839,0.88451,0.91518,0.58706,1.15099,1.38522,1.28216,0.000594052,0.000594052,0.000594052
49,17200.1,1.23229,1.17496,1.28256,0.84555,0.93533,0.94155,0.61997,1.09905,1.2777,1.25919,0.000583053,0.000583053,0.000583053
50,17570.9,1.22769,1.14747,1.25078,0.84667,0.92842,0.94509,0.60397,1.14432,1.20512,1.29098,0.000572054,0.000572054,0.000572054
51,17880.5,1.21431,1.24254,1.28457,0.86926,0.90208,0.91167,0.57198,1.18976,1.2175,1.33674,0.000561055,0.000561055,0.000561055
52,18249.1,1.18538,1.12388,1.26679,0.88027,0.89593,0.90297,0.59579,1.19017,1.2358,1.37266,0.000550056,0.000550056,0.000550056
53,18553.5,1.21047,1.16496,1.26367,0.85962,0.89305,0.88757,0.55587,1.25954,1.33475,1.45674,0.000539057,0.000539057,0.000539057
54,18889.2,1.20016,1.09263,1.23009,0.8335,0.87842,0.86361,0.54233,1.23794,1.47735,1.45729,0.000528058,0.000528058,0.000528058
55,19245.7,1.22007,1.17373,1.28278,0.84196,0.82873,0.85736,0.54685,1.22499,1.50222,1.44937,0.000517059,0.000517059,0.000517059
56,19572.3,1.14387,1.04455,1.21501,0.8769,0.81975,0.86752,0.55046,1.16828,1.50376,1.44386,0.00050606,0.00050606,0.00050606
57,19904.5,1.14705,1.04988,1.22547,0.88253,0.83153,0.89496,0.56266,1.17768,1.44916,1.42632,0.000495062,0.000495062,0.000495062
58,20264.6,1.15925,1.07722,1.21345,0.86858,0.89582,0.89916,0.58043,1.21473,1.33457,1.42631,0.000484063,0.000484063,0.000484063
59,20584.4,1.15702,1.08174,1.22855,0.87943,0.90444,0.92503,0.58788,1.21612,1.22776,1.3661,0.000473064,0.000473064,0.000473064
60,20895.1,1.1394,1.12331,1.24995,0.89051,0.90145,0.93069,0.57066,1.23727,1.18706,1.35881,0.000462065,0.000462065,0.000462065
61,21242.8,1.22954,1.08583,1.23941,0.90863,0.89299,0.92648,0.58441,1.19485,1.19292,1.36192,0.000451066,0.000451066,0.000451066
62,21617.5,1.17882,1.09876,1.25435,0.91476,0.89375,0.91569,0.59285,1.12745,1.24484,1.32687,0.000440067,0.000440067,0.000440067
63,21942.9,1.14948,1.10379,1.25801,0.89476,0.90866,0.91298,0.61048,1.11232,1.25195,1.29319,0.000429068,0.000429068,0.000429068
64,22274.9,1.16458,1.04288,1.23728,0.89218,0.93635,0.9155,0.62574,1.05449,1.22156,1.25558,0.000418069,0.000418069,0.000418069
65,22600,1.12022,1.04186,1.20344,0.91327,0.95043,0.93792,0.63381,1.0375,1.14864,1.23875,0.00040707,0.00040707,0.00040707
66,22967.7,1.10992,1.01783,1.20739,0.92191,0.94847,0.94667,0.6603,1.00885,1.08975,1.21235,0.000396071,0.000396071,0.000396071
67,23304,1.13924,1.03251,1.22454,0.92509,0.92851,0.92631,0.65443,1.00862,1.08281,1.21799,0.000385073,0.000385073,0.000385073
68,23655.7,1.1256,1.02328,1.21176,0.91825,0.92146,0.92479,0.64141,1.03419,1.08946,1.24153,0.000374074,0.000374074,0.000374074
69,23964.3,1.10925,1.04898,1.20467,0.91778,0.92097,0.93044,0.63983,1.01758,1.06993,1.24841,0.000363075,0.000363075,0.000363075
70,24305.6,1.11565,1.01823,1.19505,0.92654,0.9216,0.93793,0.64123,0.98442,1.03711,1.2201,0.000352076,0.000352076,0.000352076
71,24614.2,1.11042,0.9794,1.18722,0.94901,0.9193,0.95523,0.66424,0.96449,1.00742,1.20157,0.000341077,0.000341077,0.000341077
72,25054.4,1.10892,1.07569,1.216,0.93825,0.94658,0.95562,0.68053,0.9579,0.98956,1.19177,0.000330078,0.000330078,0.000330078
73,25408.9,1.12998,1.03645,1.1981,0.95408,0.92327,0.94972,0.67951,0.96102,0.99834,1.18163,0.000319079,0.000319079,0.000319079
74,25752.2,1.09258,1.00249,1.19769,0.94702,0.93425,0.94296,0.67286,0.95911,0.99963,1.18341,0.00030808,0.00030808,0.00030808
75,26061.9,1.05907,0.94973,1.16563,0.94672,0.94381,0.93499,0.66999,1.00705,1.02252,1.21616,0.000297081,0.000297081,0.000297081
76,26356.6,1.0751,1.03512,1.20005,0.95075,0.93647,0.936,0.66908,1.02817,1.01569,1.22436,0.000286083,0.000286083,0.000286083
77,26714.9,1.09172,0.9891,1.19513,0.95431,0.94216,0.93953,0.66485,1.01944,0.99033,1.20682,0.000275084,0.000275084,0.000275084
78,27068.4,1.03324,0.95228,1.1703,0.95574,0.93934,0.94399,0.65867,1.03722,0.97343,1.19639,0.000264085,0.000264085,0.000264085
79,27446.2,1.01078,0.93609,1.18096,0.95948,0.93268,0.96597,0.66893,1.02936,0.95492,1.18249,0.000253086,0.000253086,0.000253086
80,27815.1,1.09401,1.00987,1.18548,0.9335,0.94105,0.95589,0.67524,0.98278,0.96258,1.16283,0.000242087,0.000242087,0.000242087
81,28140.2,1.07361,0.96094,1.201,0.92656,0.92352,0.94694,0.67247,0.97515,0.99209,1.15507,0.000231088,0.000231088,0.000231088
82,28426.6,1.05721,0.99636,1.15947,0.92162,0.91159,0.94379,0.6748,0.99493,1.01203,1.16329,0.000220089,0.000220089,0.000220089
83,28744.9,1.07215,0.96354,1.19407,0.9224,0.89971,0.94114,0.66173,0.98599,1.0028,1.16345,0.00020909,0.00020909,0.00020909
84,29109.1,1.00928,0.92782,1.15456,0.92151,0.90286,0.93891,0.66715,0.99641,0.97911,1.16423,0.000198091,0.000198091,0.000198091
85,29519.9,1.03683,0.95528,1.15901,0.92074,0.90019,0.93942,0.65615,1.02012,0.98308,1.15833,0.000187092,0.000187092,0.000187092
86,29810,1.03671,0.96387,1.15207,0.9175,0.89965,0.9414,0.66647,0.98767,0.98147,1.13192,0.000176094,0.000176094,0.000176094
87,30195.4,1.06748,0.94293,1.16243,0.9146,0.89942,0.93967,0.69307,0.94255,0.9723,1.12299,0.000165095,0.000165095,0.000165095
88,30512.4,0.99794,0.95435,1.15181,0.91562,0.90239,0.94254,0.69558,0.92929,0.94736,1.12404,0.000154096,0.000154096,0.000154096
89,30863.4,0.99113,0.93137,1.15109,0.92216,0.92203,0.94844,0.69852,0.92901,0.92986,1.12583,0.000143097,0.000143097,0.000143097
90,31361.3,1.00996,0.94844,1.17675,0.92371,0.92356,0.94919,0.69669,0.92208,0.9148,1.11852,0.000132098,0.000132098,0.000132098
91,31760.3,0.99966,1.11633,1.23426,0.92669,0.92262,0.94818,0.70378,0.92283,0.92069,1.11253,0.000121099,0.000121099,0.000121099
92,32180.8,0.97552,1.12861,1.1888,0.93241,0.93426,0.95076,0.69194,0.96755,0.93001,1.12489,0.0001101,0.0001101,0.0001101
93,38301.9,0.96244,1.06961,1.20071,0.92809,0.92666,0.94695,0.67498,1.04151,0.95581,1.16446,9.91012e-05,9.91012e-05,9.91012e-05
94,38640.9,0.93237,1.03694,1.16934,0.92703,0.9339,0.94341,0.66332,1.09572,0.98424,1.19651,8.81023e-05,8.81023e-05,8.81023e-05
95,38906.9,0.99921,1.02534,1.17793,0.92719,0.93823,0.94332,0.65947,1.09959,1.00892,1.20351,7.71034e-05,7.71034e-05,7.71034e-05
96,39326.8,0.9675,0.99091,1.17434,0.92408,0.94219,0.93768,0.67032,1.0624,1.01352,1.18708,6.61045e-05,6.61045e-05,6.61045e-05
97,39697.6,0.93904,0.96331,1.15941,0.92596,0.94358,0.93408,0.68422,1.00978,1.00685,1.16482,5.51056e-05,5.51056e-05,5.51056e-05
98,40062,0.93124,0.98119,1.16861,0.92651,0.94239,0.93672,0.69168,0.97042,0.99112,1.14339,4.41067e-05,4.41067e-05,4.41067e-05
99,40386.9,0.96753,0.99793,1.17441,0.9323,0.94162,0.94385,0.7005,0.94224,0.97654,1.13265,3.31078e-05,3.31078e-05,3.31078e-05
100,40680,0.90926,0.95598,1.13368,0.93436,0.93958,0.94262,0.69953,0.92695,0.9683,1.12681,2.21089e-05,2.21089e-05,2.21089e-05
