epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,884.268,1.35533,2.62166,1.29515,0.01461,0.68333,0.20356,0.14161,1.50811,3.43306,1.38903,8.32e-05,8.32e-05,8.32e-05
42,898.929,1.38016,2.78525,1.39361,0.01461,0.68333,0.20356,0.14161,1.50811,3.43306,1.38903,7.7162e-05,7.7162e-05,7.7162e-05
43,913.813,1.30606,2.30151,1.34288,0.01463,0.68333,0.22702,0.15133,1.53371,3.42222,1.39844,7.0728e-05,7.0728e-05,7.0728e-05
44,928.623,1.43261,2.60592,1.3503,0.01463,0.68333,0.22702,0.15133,1.53371,3.42222,1.39844,6.3898e-05,6.3898e-05,6.3898e-05
45,950.292,1.26683,2.56804,1.31117,0.01467,0.68333,0.23282,0.15905,1.55883,3.42671,1.41496,5.6672e-05,5.6672e-05,5.6672e-05
46,970.812,1.26492,2.2995,1.32389,0.01467,0.68333,0.23282,0.15905,1.55883,3.42671,1.41496,4.905e-05,4.905e-05,4.905e-05
47,990.396,1.44694,2.47505,1.39497,0.6919,0.04595,0.24135,0.16261,1.57319,3.43318,1.42958,4.1032e-05,4.1032e-05,4.1032e-05
48,1010.86,1.22458,2.36381,1.29375,0.6919,0.04595,0.24135,0.16261,1.57319,3.43318,1.42958,3.2618e-05,3.2618e-05,3.2618e-05
49,1039.36,1.33496,2.33104,1.35083,0.68771,0.04386,0.24176,0.16255,1.59779,3.42285,1.43867,2.3808e-05,2.3808e-05,2.3808e-05
50,1060.87,1.41279,2.73952,1.36948,0.68771,0.04386,0.24176,0.16255,1.59779,3.42285,1.43867,1.4602e-05,1.4602e-05,1.4602e-05
