epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.161,2.22442,3.6263,2.06453,0.01182,0.36806,0.0866,0.04364,1.88266,3.70746,1.8023,3e-05,3e-05,3e-05
2,492.826,2.01081,3.58307,1.88206,0.01117,0.38056,0.11418,0.06259,1.65163,3.65693,1.64942,6.8614e-05,6.8614e-05,6.8614e-05
3,742.4,1.61816,3.37947,1.66954,0.01049,0.4287,0.14162,0.0765,1.64624,3.62205,1.65821,0.000105644,0.000105644,0.000105644
4,1037.89,1.48922,3.14434,1.53009,0.01603,0.6537,0.23588,0.11698,1.45822,3.46095,1.42769,0.00014109,0.00014109,0.00014109
5,1367.85,1.44348,2.8925,1.50197,0.0206,0.7287,0.25252,0.13547,1.30646,3.42106,1.33679,0.000174952,0.000174952,0.000174952
6,1609.93,1.43445,2.77353,1.48792,0.02721,0.83843,0.29036,0.19957,1.3008,3.35375,1.2968,0.00020723,0.00020723,0.00020723
7,1874.81,1.35884,2.55631,1.40811,0.0299,0.83843,0.39213,0.24995,1.18678,3.3439,1.26574,0.000237924,0.000237924,0.000237924
8,2145.76,1.3028,2.28063,1.41903,0.03513,0.92361,0.42507,0.22511,1.20542,3.29259,1.25677,0.000267034,0.000267034,0.000267034
9,2439.79,1.33491,2.1808,1.40586,0.63653,0.47917,0.42894,0.23795,1.22602,3.19771,1.26825,0.00029456,0.00029456,0.00029456
10,2697.47,1.34825,1.99796,1.43674,0.96634,0.11584,0.39655,0.20621,1.47366,3.14377,1.39017,0.000320502,0.000320502,0.000320502
11,2973.34,1.34299,1.86003,1.4439,0.91101,0.18682,0.42396,0.22325,1.52309,3.00764,1.41851,0.00034486,0.00034486,0.00034486
12,3233.25,1.29322,1.76255,1.42058,0.82508,0.25524,0.48327,0.26721,1.46483,2.9177,1.45256,0.000367634,0.000367634,0.000367634
13,3513.11,1.26777,1.62731,1.40447,0.75851,0.17177,0.37896,0.22535,1.5167,2.91384,1.54761,0.000388824,0.000388824,0.000388824
14,3739.57,1.31095,1.68366,1.41675,0.85,0.24121,0.43715,0.24298,1.45535,2.90119,1.51943,0.00040843,0.00040843,0.00040843
15,4034,1.22541,1.60335,1.38274,0.81244,0.27917,0.56571,0.3585,1.21341,2.68846,1.38199,0.000426452,0.000426452,0.000426452
16,4315.14,1.24905,1.51939,1.38179,0.801,0.27689,0.59234,0.40171,1.16123,2.59955,1.35405,0.00044289,0.00044289,0.00044289
17,4561.83,1.24285,1.43708,1.38262,0.83232,0.33228,0.67432,0.44141,1.17158,2.53365,1.36368,0.000457744,0.000457744,0.000457744
18,4816.95,1.23669,1.44512,1.3868,0.68755,0.3618,0.71956,0.39494,1.41433,2.38966,1.44656,0.000471014,0.000471014,0.000471014
19,5145.85,1.22334,1.39241,1.36248,0.72577,0.4411,0.76439,0.41086,1.39538,2.15562,1.44823,0.0004827,0.0004827,0.0004827
20,5389.48,1.17885,1.33268,1.37141,0.74613,0.54676,0.77714,0.42066,1.4083,1.99103,1.46622,0.000492802,0.000492802,0.000492802
21,5630.7,1.17971,1.31617,1.37733,0.74781,0.57884,0.82075,0.43982,1.40773,1.73495,1.4574,0.00050132,0.00050132,0.00050132
22,5871.85,1.1623,1.31576,1.34366,0.75234,0.59854,0.83876,0.48635,1.33704,1.67387,1.35848,0.000508254,0.000508254,0.000508254
23,6255.34,1.17927,1.30158,1.30748,0.80058,0.6037,0.85308,0.57437,1.14104,1.68375,1.2483,0.000513604,0.000513604,0.000513604
24,21053.6,1.1341,1.23302,1.29824,0.76205,0.5611,0.85298,0.58239,1.05508,1.78942,1.25976,0.00051737,0.00051737,0.00051737
25,21355.4,1.15586,1.23699,1.3068,0.7852,0.56792,0.84474,0.61852,1.05287,1.75643,1.2532,0.000519552,0.000519552,0.000519552
26,21652.8,1.16723,1.23256,1.33111,0.86071,0.72475,0.92412,0.62006,1.09064,1.67134,1.23575,0.000505,0.000505,0.000505
27,21977.7,1.1096,1.17124,1.28594,0.78195,0.75121,0.90683,0.61238,1.13057,1.60241,1.24544,0.0004852,0.0004852,0.0004852
28,22366.2,1.13321,1.14482,1.28896,0.85867,0.8063,0.93788,0.63226,1.1384,1.52399,1.27389,0.0004654,0.0004654,0.0004654
29,22714.7,1.12934,1.15713,1.28193,0.92002,0.86061,0.92707,0.63178,1.16677,1.43998,1.2929,0.0004456,0.0004456,0.0004456
30,23015.3,1.10809,1.13581,1.25607,0.85394,0.85257,0.92868,0.62924,1.16056,1.36467,1.29054,0.0004258,0.0004258,0.0004258
31,23354.7,1.08038,1.09671,1.23452,0.88129,0.87145,0.9327,0.6627,1.06331,1.32477,1.2312,0.000406,0.000406,0.000406
32,23568.6,1.03982,1.04221,1.2271,0.90026,0.88332,0.9356,0.67862,1.00645,1.28501,1.21765,0.0003862,0.0003862,0.0003862
33,23862.1,1.07252,1.06097,1.27612,0.88974,0.89862,0.93775,0.66677,1.02447,1.25413,1.22431,0.0003664,0.0003664,0.0003664
34,24047.9,1.07048,1.07486,1.28695,0.89183,0.87422,0.9352,0.64354,1.08745,1.22644,1.23544,0.0003466,0.0003466,0.0003466
35,24233.9,1.07914,1.02401,1.24135,0.84745,0.87813,0.93339,0.65967,1.10325,1.2164,1.23797,0.0003268,0.0003268,0.0003268
36,24457.8,1.06767,1.03607,1.24475,0.83785,0.85705,0.94255,0.66323,1.10399,1.21924,1.24238,0.000307,0.000307,0.000307
37,24643.9,1.0904,1.09058,1.25075,0.88942,0.89158,0.94939,0.65346,1.12661,1.18906,1.24857,0.0002872,0.0002872,0.0002872
38,24852.5,1.05395,1.06382,1.23625,0.91566,0.90088,0.95254,0.65117,1.14783,1.15509,1.25376,0.0002674,0.0002674,0.0002674
39,25095.7,1.01262,0.97106,1.19853,0.92405,0.91836,0.9336,0.63629,1.16751,1.13914,1.26923,0.0002476,0.0002476,0.0002476
40,25336.3,1.04021,1.00526,1.19634,0.92563,0.8974,0.93199,0.64347,1.13909,1.09723,1.27592,0.0002278,0.0002278,0.0002278
41,25527.6,1.19327,1.51296,1.4048,0.90831,0.92094,0.95352,0.62516,1.17855,1.08409,1.30779,0.000208,0.000208,0.000208
42,25739.6,1.21786,1.51551,1.41246,0.90342,0.92367,0.95051,0.58635,1.28759,1.11905,1.38221,0.0001882,0.0001882,0.0001882
43,25903.9,1.10545,1.28376,1.33886,0.90727,0.92099,0.94724,0.51641,1.45959,1.15832,1.49374,0.0001684,0.0001684,0.0001684
44,26136.7,1.06178,1.15156,1.29626,0.91283,0.91824,0.94742,0.48534,1.52386,1.17175,1.54002,0.0001486,0.0001486,0.0001486
45,26371.7,1.08774,1.1785,1.29338,0.91188,0.92073,0.9424,0.51012,1.46813,1.12127,1.50569,0.0001288,0.0001288,0.0001288
46,26559.4,1.03343,1.15833,1.2733,0.91235,0.92036,0.9436,0.55273,1.3499,1.03714,1.42019,0.000109,0.000109,0.000109
47,26713.4,1.06665,1.17317,1.27907,0.91507,0.91349,0.93819,0.59508,1.23724,0.99444,1.33986,8.92e-05,8.92e-05,8.92e-05
48,26943.8,1.07971,1.17922,1.27506,0.9231,0.91002,0.93617,0.6252,1.17272,0.95596,1.2944,6.94e-05,6.94e-05,6.94e-05
49,27191,1.04769,1.11835,1.2773,0.9247,0.91163,0.93543,0.63896,1.13648,0.92987,1.26658,4.96e-05,4.96e-05,4.96e-05
50,27388.1,1.06377,1.11677,1.26698,0.9251,0.91475,0.93532,0.6424,1.11634,0.91153,1.2513,2.98e-05,2.98e-05,2.98e-05
